NAME , MOBILE NO, ADDRESS , EMAIL ID , SOURCE OF LEAD , DISTRICT NAME ,ASSEMBLY NAME , WARD OR ZP NAME , POLLING BOOTH NO , CAMPAIGN /GROUP NAME, VOTER ID , NOTEPAD
Demo54,917411033714,DWD54,a@gmail.com54,source54,discrict54,assembly54,ward54,pooling54,campaing54,voter54,response54
Demo55,917411033710,DWD55,a@gmail.com55,source55,discrict55,assembly55,ward55,pooling55,campaing55,voter55,response55
Demo56,917411033706,DWD56,a@gmail.com56,source56,discrict56,assembly56,ward56,pooling56,campaing56,voter56,response56
Demo57,917411033702,DWD57,a@gmail.com57,source57,discrict57,assembly57,ward57,pooling57,campaing57,voter57,response57
Demo58,917411033698,DWD58,a@gmail.com58,source58,discrict58,assembly58,ward58,pooling58,campaing58,voter58,response58
Demo59,917411033694,DWD59,a@gmail.com59,source59,discrict59,assembly59,ward59,pooling59,campaing59,voter59,response59
Demo60,917411033690,DWD60,a@gmail.com60,source60,discrict60,assembly60,ward60,pooling60,campaing60,voter60,response60
Demo61,917411033686,DWD61,a@gmail.com61,source61,discrict61,assembly61,ward61,pooling61,campaing61,voter61,response61
Demo62,917411033682,DWD62,a@gmail.com62,source62,discrict62,assembly62,ward62,pooling62,campaing62,voter62,response62
Demo63,917411033678,DWD63,a@gmail.com63,source63,discrict63,assembly63,ward63,pooling63,campaing63,voter63,response63
Demo64,917411033674,DWD64,a@gmail.com64,source64,discrict64,assembly64,ward64,pooling64,campaing64,voter64,response64
Demo65,917411033670,DWD65,a@gmail.com65,source65,discrict65,assembly65,ward65,pooling65,campaing65,voter65,response65
Demo66,917411033666,DWD66,a@gmail.com66,source66,discrict66,assembly66,ward66,pooling66,campaing66,voter66,response66
Demo67,917411033662,DWD67,a@gmail.com67,source67,discrict67,assembly67,ward67,pooling67,campaing67,voter67,response67
Demo68,917411033658,DWD68,a@gmail.com68,source68,discrict68,assembly68,ward68,pooling68,campaing68,voter68,response68
Demo69,917411033654,DWD69,a@gmail.com69,source69,discrict69,assembly69,ward69,pooling69,campaing69,voter69,response69
Demo70,917411033650,DWD70,a@gmail.com70,source70,discrict70,assembly70,ward70,pooling70,campaing70,voter70,response70
Demo71,917411033646,DWD71,a@gmail.com71,source71,discrict71,assembly71,ward71,pooling71,campaing71,voter71,response71
Demo72,917411033642,DWD72,a@gmail.com72,source72,discrict72,assembly72,ward72,pooling72,campaing72,voter72,response72
Demo73,917411033638,DWD73,a@gmail.com73,source73,discrict73,assembly73,ward73,pooling73,campaing73,voter73,response73
Demo74,917411033634,DWD74,a@gmail.com74,source74,discrict74,assembly74,ward74,pooling74,campaing74,voter74,response74
Demo75,917411033630,DWD75,a@gmail.com75,source75,discrict75,assembly75,ward75,pooling75,campaing75,voter75,response75
Demo76,917411033626,DWD76,a@gmail.com76,source76,discrict76,assembly76,ward76,pooling76,campaing76,voter76,response76
Demo77,917411033622,DWD77,a@gmail.com77,source77,discrict77,assembly77,ward77,pooling77,campaing77,voter77,response77
Demo78,917411033618,DWD78,a@gmail.com78,source78,discrict78,assembly78,ward78,pooling78,campaing78,voter78,response78
Demo79,917411033614,DWD79,a@gmail.com79,source79,discrict79,assembly79,ward79,pooling79,campaing79,voter79,response79
Demo80,917411033610,DWD80,a@gmail.com80,source80,discrict80,assembly80,ward80,pooling80,campaing80,voter80,response80
Demo81,917411033606,DWD81,a@gmail.com81,source81,discrict81,assembly81,ward81,pooling81,campaing81,voter81,response81
Demo82,917411033602,DWD82,a@gmail.com82,source82,discrict82,assembly82,ward82,pooling82,campaing82,voter82,response82
Demo83,917411033598,DWD83,a@gmail.com83,source83,discrict83,assembly83,ward83,pooling83,campaing83,voter83,response83
Demo84,917411033594,DWD84,a@gmail.com84,source84,discrict84,assembly84,ward84,pooling84,campaing84,voter84,response84
Demo85,917411033590,DWD85,a@gmail.com85,source85,discrict85,assembly85,ward85,pooling85,campaing85,voter85,response85
Demo86,917411033586,DWD86,a@gmail.com86,source86,discrict86,assembly86,ward86,pooling86,campaing86,voter86,response86
Demo87,917411033582,DWD87,a@gmail.com87,source87,discrict87,assembly87,ward87,pooling87,campaing87,voter87,response87
Demo88,917411033578,DWD88,a@gmail.com88,source88,discrict88,assembly88,ward88,pooling88,campaing88,voter88,response88
Demo89,917411033574,DWD89,a@gmail.com89,source89,discrict89,assembly89,ward89,pooling89,campaing89,voter89,response89
Demo90,917411033570,DWD90,a@gmail.com90,source90,discrict90,assembly90,ward90,pooling90,campaing90,voter90,response90
Demo91,917411033566,DWD91,a@gmail.com91,source91,discrict91,assembly91,ward91,pooling91,campaing91,voter91,response91
Demo92,917411033562,DWD92,a@gmail.com92,source92,discrict92,assembly92,ward92,pooling92,campaing92,voter92,response92
Demo93,917411033558,DWD93,a@gmail.com93,source93,discrict93,assembly93,ward93,pooling93,campaing93,voter93,response93
Demo94,917411033554,DWD94,a@gmail.com94,source94,discrict94,assembly94,ward94,pooling94,campaing94,voter94,response94
Demo95,917411033550,DWD95,a@gmail.com95,source95,discrict95,assembly95,ward95,pooling95,campaing95,voter95,response95
Demo96,917411033546,DWD96,a@gmail.com96,source96,discrict96,assembly96,ward96,pooling96,campaing96,voter96,response96
Demo97,917411033542,DWD97,a@gmail.com97,source97,discrict97,assembly97,ward97,pooling97,campaing97,voter97,response97
Demo98,917411033538,DWD98,a@gmail.com98,source98,discrict98,assembly98,ward98,pooling98,campaing98,voter98,response98
Demo99,917411033534,DWD99,a@gmail.com99,source99,discrict99,assembly99,ward99,pooling99,campaing99,voter99,response99
Demo100,917411033530,DWD100,a@gmail.com100,source100,discrict100,assembly100,ward100,pooling100,campaing100,voter100,response100
Demo101,917411033526,DWD101,a@gmail.com101,source101,discrict101,assembly101,ward101,pooling101,campaing101,voter101,response101
Demo102,917411033522,DWD102,a@gmail.com102,source102,discrict102,assembly102,ward102,pooling102,campaing102,voter102,response102
Demo103,917411033518,DWD103,a@gmail.com103,source103,discrict103,assembly103,ward103,pooling103,campaing103,voter103,response103
Demo104,917411033514,DWD104,a@gmail.com104,source104,discrict104,assembly104,ward104,pooling104,campaing104,voter104,response104
Demo105,917411033510,DWD105,a@gmail.com105,source105,discrict105,assembly105,ward105,pooling105,campaing105,voter105,response105
Demo106,917411033506,DWD106,a@gmail.com106,source106,discrict106,assembly106,ward106,pooling106,campaing106,voter106,response106
Demo107,917411033502,DWD107,a@gmail.com107,source107,discrict107,assembly107,ward107,pooling107,campaing107,voter107,response107
Demo108,917411033498,DWD108,a@gmail.com108,source108,discrict108,assembly108,ward108,pooling108,campaing108,voter108,response108
Demo109,917411033494,DWD109,a@gmail.com109,source109,discrict109,assembly109,ward109,pooling109,campaing109,voter109,response109
Demo110,917411033490,DWD110,a@gmail.com110,source110,discrict110,assembly110,ward110,pooling110,campaing110,voter110,response110
Demo111,917411033486,DWD111,a@gmail.com111,source111,discrict111,assembly111,ward111,pooling111,campaing111,voter111,response111
Demo112,917411033482,DWD112,a@gmail.com112,source112,discrict112,assembly112,ward112,pooling112,campaing112,voter112,response112
Demo113,917411033478,DWD113,a@gmail.com113,source113,discrict113,assembly113,ward113,pooling113,campaing113,voter113,response113
Demo114,917411033474,DWD114,a@gmail.com114,source114,discrict114,assembly114,ward114,pooling114,campaing114,voter114,response114
Demo115,917411033470,DWD115,a@gmail.com115,source115,discrict115,assembly115,ward115,pooling115,campaing115,voter115,response115
Demo116,917411033466,DWD116,a@gmail.com116,source116,discrict116,assembly116,ward116,pooling116,campaing116,voter116,response116
Demo117,917411033462,DWD117,a@gmail.com117,source117,discrict117,assembly117,ward117,pooling117,campaing117,voter117,response117
Demo118,917411033458,DWD118,a@gmail.com118,source118,discrict118,assembly118,ward118,pooling118,campaing118,voter118,response118
Demo119,917411033454,DWD119,a@gmail.com119,source119,discrict119,assembly119,ward119,pooling119,campaing119,voter119,response119
Demo120,917411033450,DWD120,a@gmail.com120,source120,discrict120,assembly120,ward120,pooling120,campaing120,voter120,response120
Demo121,917411033446,DWD121,a@gmail.com121,source121,discrict121,assembly121,ward121,pooling121,campaing121,voter121,response121
Demo122,917411033442,DWD122,a@gmail.com122,source122,discrict122,assembly122,ward122,pooling122,campaing122,voter122,response122
Demo123,917411033438,DWD123,a@gmail.com123,source123,discrict123,assembly123,ward123,pooling123,campaing123,voter123,response123
Demo124,917411033434,DWD124,a@gmail.com124,source124,discrict124,assembly124,ward124,pooling124,campaing124,voter124,response124
Demo125,917411033430,DWD125,a@gmail.com125,source125,discrict125,assembly125,ward125,pooling125,campaing125,voter125,response125
Demo126,917411033426,DWD126,a@gmail.com126,source126,discrict126,assembly126,ward126,pooling126,campaing126,voter126,response126
Demo127,917411033422,DWD127,a@gmail.com127,source127,discrict127,assembly127,ward127,pooling127,campaing127,voter127,response127
Demo128,917411033418,DWD128,a@gmail.com128,source128,discrict128,assembly128,ward128,pooling128,campaing128,voter128,response128
Demo129,917411033414,DWD129,a@gmail.com129,source129,discrict129,assembly129,ward129,pooling129,campaing129,voter129,response129
Demo130,917411033410,DWD130,a@gmail.com130,source130,discrict130,assembly130,ward130,pooling130,campaing130,voter130,response130
