NAME , MOBILE NO, ADDRESS , EMAIL ID , SOURCE OF LEAD , DISTRICT NAME ,ASSEMBLY NAME , WARD OR ZP NAME , POLLING BOOTH NO , CAMPAIGN /GROUP NAME, VOTER ID , NOTEPAD
Demo66,917411033991,DWD66,a@gmail.com66,source66,,,,,,voter66,response66
Demo67,917411033992,DWD67,a@gmail.com67,source67,,,,,,voter67,response67
Demo68,917411033993,DWD68,a@gmail.com68,source68,,,,,,voter68,response68
Demo69,917411033994,DWD69,a@gmail.com69,source69,,,,,,voter69,response69
Demo70,917411033995,DWD70,a@gmail.com70,source70,,,,,,voter70,response70
Demo71,917411033996,DWD71,a@gmail.com71,source71,,,,,,voter71,response71
Demo72,917411033997,DWD72,a@gmail.com72,source72,,,,,,voter72,response72
Demo73,917411033998,DWD73,a@gmail.com73,source73,,,,,,voter73,response73
Demo74,917411033999,DWD74,a@gmail.com74,source74,,,,,,voter74,response74
Demo75,917411034000,DWD75,a@gmail.com75,source75,,,,,,voter75,response75
Demo76,917411034001,DWD76,a@gmail.com76,source76,,,,,,voter76,response76
Demo77,917411034002,DWD77,a@gmail.com77,source77,,,,,,voter77,response77
Demo78,917411034003,DWD78,a@gmail.com78,source78,,,,,,voter78,response78
Demo79,917411034004,DWD79,a@gmail.com79,source79,,,,,,voter79,response79
Demo80,917411034005,DWD80,a@gmail.com80,source80,,,,,,voter80,response80
Demo81,917411034006,DWD81,a@gmail.com81,source81,,,,,,voter81,response81
Demo82,917411034007,DWD82,a@gmail.com82,source82,,,,,,voter82,response82
Demo83,917411034008,DWD83,a@gmail.com83,source83,,,,,,voter83,response83
Demo84,917411034009,DWD84,a@gmail.com84,source84,,,,,,voter84,response84
Demo85,917411034010,DWD85,a@gmail.com85,source85,,,,,,voter85,response85
Demo86,917411034011,DWD86,a@gmail.com86,source86,,,,,,voter86,response86
Demo87,917411034012,DWD87,a@gmail.com87,source87,,,,,,voter87,response87
Demo88,917411034013,DWD88,a@gmail.com88,source88,,,,,,voter88,response88
Demo89,917411034014,DWD89,a@gmail.com89,source89,,,,,,voter89,response89
Demo90,917411034015,DWD90,a@gmail.com90,source90,,,,,,voter90,response90
Demo91,917411034016,DWD91,a@gmail.com91,source91,,,,,,voter91,response91
Demo92,917411034017,DWD92,a@gmail.com92,source92,,,,,,voter92,response92
Demo93,917411034018,DWD93,a@gmail.com93,source93,,,,,,voter93,response93
Demo94,917411034019,DWD94,a@gmail.com94,source94,,,,,,voter94,response94
Demo95,917411034020,DWD95,a@gmail.com95,source95,,,,,,voter95,response95
Demo96,917411034021,DWD96,a@gmail.com96,source96,,,,,,voter96,response96
Demo97,917411034022,DWD97,a@gmail.com97,source97,,,,,,voter97,response97
Demo98,917411034023,DWD98,a@gmail.com98,source98,,,,,,voter98,response98
Demo99,917411034024,DWD99,a@gmail.com99,source99,,,,,,voter99,response99
Demo100,917411034025,DWD100,a@gmail.com100,source100,,,,,,voter100,response100
Demo101,917411034026,DWD101,a@gmail.com101,source101,,,,,,voter101,response101
Demo102,917411034027,DWD102,a@gmail.com102,source102,,,,,,voter102,response102
Demo103,917411034028,DWD103,a@gmail.com103,source103,,,,,,voter103,response103
Demo104,917411034029,DWD104,a@gmail.com104,source104,,,,,,voter104,response104
Demo105,917411034030,DWD105,a@gmail.com105,source105,,,,,,voter105,response105
Demo106,917411034031,DWD106,a@gmail.com106,source106,,,,,,voter106,response106
Demo107,917411034032,DWD107,a@gmail.com107,source107,,,,,,voter107,response107
Demo108,917411034033,DWD108,a@gmail.com108,source108,,,,,,voter108,response108
Demo109,917411034034,DWD109,a@gmail.com109,source109,,,,,,voter109,response109
Demo110,917411034035,DWD110,a@gmail.com110,source110,,,,,,voter110,response110
Demo111,917411034036,DWD111,a@gmail.com111,source111,,,,,,voter111,response111
Demo112,917411034037,DWD112,a@gmail.com112,source112,,,,,,voter112,response112
Demo113,917411034038,DWD113,a@gmail.com113,source113,,,,,,voter113,response113
Demo114,917411034039,DWD114,a@gmail.com114,source114,,,,,,voter114,response114
Demo115,917411034040,DWD115,a@gmail.com115,source115,,,,,,voter115,response115
Demo116,917411034041,DWD116,a@gmail.com116,source116,,,,,,voter116,response116
Demo117,917411034042,DWD117,a@gmail.com117,source117,,,,,,voter117,response117
Demo118,917411034043,DWD118,a@gmail.com118,source118,,,,,,voter118,response118
Demo119,917411034044,DWD119,a@gmail.com119,source119,,,,,,voter119,response119
Demo120,917411034045,DWD120,a@gmail.com120,source120,,,,,,voter120,response120
Demo121,917411034046,DWD121,a@gmail.com121,source121,,,,,,voter121,response121
Demo122,917411034047,DWD122,a@gmail.com122,source122,,,,,,voter122,response122
Demo123,917411034048,DWD123,a@gmail.com123,source123,,,,,,voter123,response123
Demo124,917411034049,DWD124,a@gmail.com124,source124,,,,,,voter124,response124
Demo125,917411034050,DWD125,a@gmail.com125,source125,,,,,,voter125,response125
Demo126,917411034051,DWD126,a@gmail.com126,source126,,,,,,voter126,response126
Demo127,917411034052,DWD127,a@gmail.com127,source127,,,,,,voter127,response127
Demo128,917411034053,DWD128,a@gmail.com128,source128,,,,,,voter128,response128
Demo129,917411034054,DWD129,a@gmail.com129,source129,,,,,,voter129,response129
Demo130,917411034055,DWD130,a@gmail.com130,source130,,,,,,voter130,response130
